SEAM slot,SEAM pin,Signal ID,Pigtail slot,Pigtail pin,GBTx ID,Conn to PT,DCB slot,DCB pin,Conn to other DCBs
2,D28,GND,,,,False,,,False
2,D31,GND,,,,False,,,False
2,D32,GND,,,,False,,,False
2,D35,GND,,,,False,,,False
2,D36,GND,,,,False,,,False
2,D39,GND,,,,False,,,False
2,D40,GND,,,,False,,,False
2,D43,GND,,,,False,,,False
2,D44,GND,,,,False,,,False
2,D47,GND,,,,False,,,False
2,D48,GND,,,,False,,,False
2,E5,GND,,,,False,,,False
2,E6,GND,,,,False,,,False
2,E9,GND,,,,False,,,False
2,E10,GND,,,,False,,,False
2,E13,GND,,,,False,,,False
2,E14,GND,,,,False,,,False
2,E17,GND,,,,False,,,False
2,E18,GND,,,,False,,,False
2,E21,GND,,,,False,,,False
2,E22,GND,,,,False,,,False
2,E25,GND,,,,False,,,False
2,E26,GND,,,,False,,,False
2,E29,GND,,,,False,,,False
2,E30,GND,,,,False,,,False
2,E33,GND,,,,False,,,False
2,E34,GND,,,,False,,,False
2,E37,GND,,,,False,,,False
